chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_coke.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Gas coke,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_coke.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Heat.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Heat,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Hydrogen.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Hydrogen,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Hydrogen.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Industrial_waste.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Industrial waste,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__LPG.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),LPG,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__LPG.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Natural_gas.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Natural gas,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Natural_gas.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_biomass.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other biomass,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_biomass.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_bituminous_coal.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other bituminous coal,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_bituminous_coal.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_liquid_biofuels.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other liquid biofuels,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_recovered_gases.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other recovered gases,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_recovered_gases.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_sources.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Other sources,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Other_sources.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Others.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Others,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Others.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Patent_fuel.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Patent fuel,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Patent_fuel.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Solid_biomass.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Solid biomass,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Solid_biomass.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Sub-bituminous_coal.html,Industry > Manufacturing > Iron and steel,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Sub-bituminous coal,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Sub-bituminous_coal.html,sec-Industry__Manufacturing__Iron_and_steel,Iron and steel,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Anthracite.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Anthracite,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Anthracite.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Aviation_gasoline.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Aviation gasoline,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Aviation_gasoline.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Bagasse.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Bagasse,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Bagasse.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Bio_jet_kerosene.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Biodiesel.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Biodiesel,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Biodiesel.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Biogas.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Biogas,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Biogas.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Biogasoline.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Biogasoline,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Biogasoline.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Bitumen.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Bitumen,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Bitumen.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Black_liqour.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Black liqour,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Black_liqour.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Charcoal.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Charcoal,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Charcoal.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Coal_nonspecified.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Coal nonspecified,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Coal_nonspecified.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Electricity.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Electricity,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Ethane.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Ethane,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Ethane.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Gasoline_type_jet_fuel.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Gasoline type jet fuel,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Gasoline_type_jet_fuel.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Heat.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Heat,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Industrial_waste.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Industrial waste,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Kerosene.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Kerosene,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Kerosene.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Kerosene_type_jet_fuel.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Kerosene type jet fuel,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__LPG.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),LPG,charts/esto__14_03_06__Machinery__Energy_balance__PJ__LPG.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Lubricants.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Lubricants,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Lubricants.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_06__Machinery__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_06__Machinery__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Naphtha.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Naphtha,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Naphtha.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Natural_gas.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Natural gas,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Natural_gas.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_biomass.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Other biomass,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_biomass.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_bituminous_coal.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Other bituminous coal,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_bituminous_coal.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_liquid_biofuels.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Other liquid biofuels,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_products.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Other products,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_products.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_sources.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Other sources,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Other_sources.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Others.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Others,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Others.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Paraffin_waxes.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Paraffin waxes,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Paraffin_waxes.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__PetProd_nonspecified.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),PetProd nonspecified,charts/esto__14_03_06__Machinery__Energy_balance__PJ__PetProd_nonspecified.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Petroleum_coke.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Petroleum coke,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Petroleum_coke.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Refinery_gas__not_liquefied.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Refinery gas (not liquefied),charts/esto__14_03_06__Machinery__Energy_balance__PJ__Refinery_gas__not_liquefied.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Solid_biomass.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Solid biomass,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Solid_biomass.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__Sub-bituminous_coal.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),Sub-bituminous coal,charts/esto__14_03_06__Machinery__Energy_balance__PJ__Sub-bituminous_coal.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_06__Machinery__Energy_balance__PJ__White_spirit_SBP.html,Industry > Manufacturing > Machinery,esto__14_03_06__Machinery,Energy balance (PJ),White spirit SBP,charts/esto__14_03_06__Machinery__Energy_balance__PJ__White_spirit_SBP.html,sec-Industry__Manufacturing__Machinery,Machinery,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Aviation_gasoline.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Aviation gasoline,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Aviation_gasoline.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Bagasse.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Bagasse,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Bagasse.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Bio_jet_kerosene.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Biodiesel.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Biodiesel,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Biodiesel.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Biogas.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Biogas,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Biogas.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Biogasoline.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Biogasoline,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Biogasoline.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Bitumen.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Bitumen,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Bitumen.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Black_liqour.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Black liqour,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Black_liqour.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Charcoal.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Charcoal,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Charcoal.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Electricity.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Electricity,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Ethane.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Ethane,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Ethane.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Gasoline_type_jet_fuel.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Gasoline type jet fuel,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Gasoline_type_jet_fuel.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Heat.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Heat,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Industrial_waste.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Industrial waste,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Kerosene.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Kerosene,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Kerosene.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Kerosene_type_jet_fuel.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Kerosene type jet fuel,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__LPG.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),LPG,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__LPG.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Lubricants.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Lubricants,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Lubricants.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Naphtha.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Naphtha,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Naphtha.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
chart::charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Natural_gas.html,Industry > Manufacturing > Non ferrous metals,esto__14_03_03__Non_ferrous_metals,Energy balance (PJ),Natural gas,charts/esto__14_03_03__Non_ferrous_metals__Energy_balance__PJ__Natural_gas.html,sec-Industry__Manufacturing__Non_ferrous_metals,Non ferrous metals,direct
