chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Gas_diesel_oil.html,Buildings > Residential,esto__16_02__Residential,Energy balance (PJ),Gas/diesel oil,charts/esto__16_02__Residential__Energy_balance__PJ__Gas_diesel_oil.html,sec-Buildings__Residential,Residential,direct
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Geothermal.html,Buildings > Residential,esto__16_02__Residential,Energy balance (PJ),Geothermal,charts/esto__16_02__Residential__Energy_balance__PJ__Geothermal.html,sec-Buildings__Residential,Residential,direct
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Kerosene.html,Buildings > Residential,esto__16_02__Residential,Energy balance (PJ),Kerosene,charts/esto__16_02__Residential__Energy_balance__PJ__Kerosene.html,sec-Buildings__Residential,Residential,direct
chart::charts/esto__16_02__Residential__Energy_balance__PJ__LPG.html,Buildings > Residential,esto__16_02__Residential,Energy balance (PJ),LPG,charts/esto__16_02__Residential__Energy_balance__PJ__LPG.html,sec-Buildings__Residential,Residential,direct
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Other_biomass.html,Buildings > Residential,esto__16_02__Residential,Energy balance (PJ),Other biomass,charts/esto__16_02__Residential__Energy_balance__PJ__Other_biomass.html,sec-Buildings__Residential,Residential,direct
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Solar_nonspecified.html,Buildings > Residential,esto__16_02__Residential,Energy balance (PJ),Solar nonspecified,charts/esto__16_02__Residential__Energy_balance__PJ__Solar_nonspecified.html,sec-Buildings__Residential,Residential,direct
chart::charts/aggregate__Bunkers__Energy_balance__PJ__Total.html,Bunkers,Bunkers,Energy balance (PJ),Total,charts/aggregate__Bunkers__Energy_balance__PJ__Total.html,sec-Bunkers,Bunkers,aggregate
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Aviation_gasoline.html,Bunkers > International aviation bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Aviation gasoline,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Aviation_gasoline.html,sec-Bunkers__International_aviation_bunkers,International aviation bunkers,direct
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Hydrogen.html,Bunkers > International aviation bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Hydrogen,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Hydrogen.html,sec-Bunkers__International_aviation_bunkers,International aviation bunkers,direct
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Kerosene_type_jet_fuel.html,Bunkers > International aviation bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Kerosene type jet fuel,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Bunkers__International_aviation_bunkers,International aviation bunkers,direct
