issue_cause,rows,max_gap_ratio,max_abs_gap
direct_mapping_numeric_gap,1487,9414.333659925918,28643.788128744745
aggregate_fuel_mapping,392,8134.629429767991,17796.66283230815
catch_all_fuel_bucket,36,66.97271179964001,332.5407350107161
