chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind,exposed_in_dashboard
chart::charts/aggregate__Buildings__Energy_balance__PJ__Total.html,Buildings,Buildings,Energy balance (PJ),Total,charts/aggregate__Buildings__Energy_balance__PJ__Total.html,sec-Buildings,Buildings,aggregate,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Anthracite.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Anthracite,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Anthracite.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Biodiesel.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Biodiesel,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Biodiesel.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Biogas.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Biogas,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Biogas.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Electricity.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Electricity,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Electricity.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Fuel_oil.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Fuel oil,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Fuel_oil.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Gas_diesel_oil.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Gas/diesel oil,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Gas_diesel_oil.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Heat.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Heat,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Heat.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Kerosene.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Kerosene,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Kerosene.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__LPG.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),LPG,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__LPG.html,sec-Buildings,Buildings,direct,True
