dashboard_path,node_esto_flow,graph_id,measure,selection_mode,available_esto_products,products_selected,excluded_products,available_not_shown
Other transformation and transfers > Transfers > Gas processing plants > Liquefaction/regasification plants,09.06.02 Liquefaction/regasification plants,graph_1,Inputs (incl. losses & own-use) (PJ),all,,,,
Other transformation and transfers > Transfers > Gas processing plants > Liquefaction/regasification plants,09.06.02 Liquefaction/regasification plants,graph_2,Outputs (PJ),explicit_products,08.01 Natural gas; 08.02 LNG; 17 Electricity,08.02 LNG,,08.01 Natural gas; 17 Electricity
Other transformation and transfers > Transfers > Gas processing plants > Natural gas blending plants,09.06.03 Natural gas blending plants,graph_1,Outputs (PJ),all,,,,
Other transformation and transfers > Transfers > Hydrogen transformation > Electrolysers,09.13.01 Electrolysers,graph_1,Outputs (PJ),all,,,,
Other transformation and transfers > Transfers > Hydrogen transformation > Electrolysers,09.13.01 Electrolysers,graph_2,Inputs (incl. losses & own-use) (PJ),explicit_products,17 Electricity,17 Electricity,,
Other transformation and transfers > Transfers > Hydrogen transformation > SMR w CCS,09.13.03 SMR w CCS,graph_1,Outputs (PJ),all,,,,
Other transformation and transfers > Transfers > Hydrogen transformation > SMR w CCS,09.13.03 SMR w CCS,graph_2,Inputs (incl. losses & own-use) (PJ),explicit_products,08.01 Natural gas,08.01 Natural gas,,
Other transformation and transfers > Transfers > Non-specified transformation,09.12 Non-specified transformation,graph_1,Inputs (incl. losses & own-use) (PJ),all,,,,
Other transformation and transfers > Transfers > Non-specified transformation,09.12 Non-specified transformation,graph_2,Outputs (PJ),explicit_products,06.05 Other hydrocarbons,06.05 Other hydrocarbons,,
Others > Agriculture and fishing,16.03 Agriculture,graph_1,Energy balance (PJ),all,07.01 Motor gasoline; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 15.05 Other biomass; 16.01 Biogas; 16.06 Biodiesel; 17 Electricity,07.01 Motor gasoline; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 15.05 Other biomass; 16.01 Biogas; 16.06 Biodiesel; 17 Electricity,,
Others > Non-specified others,16.05 Non-specified others,graph_1,Energy balance (PJ),all,17 Electricity,17 Electricity,,
Refining > Oil refineries,09.07 Oil refineries,graph_1,Outputs (PJ),all,,,,
Refining > Oil refineries,09.07 Oil refineries,graph_2,Inputs (incl. losses & own-use) (PJ),all,,,,
Transport > Domestic air transport,15.01 Domestic air transport,graph_1,Energy balance (PJ),all,,,,
Transport > Domestic navigation,15.04 Domestic navigation,graph_1,Energy balance (PJ),all,,,,
Transport > Pipeline transport,15.05 Pipeline transport,graph_1,Energy balance (PJ),all,08.01 Natural gas,08.01 Natural gas,,
Transport > Rail,15.03 Rail,graph_1,Energy balance (PJ),all,07.07 Gas/diesel oil; 16.06 Biodiesel; 17 Electricity,07.07 Gas/diesel oil; 16.06 Biodiesel; 17 Electricity,,
Transport > Road,15.02 Road,graph_1,Energy balance (PJ),all,07.01 Motor gasoline; 07.07 Gas/diesel oil; 07.09 LPG; 16.05 Biogasoline; 16.06 Biodiesel; 16.12 Hydrogen; 17 Electricity,07.01 Motor gasoline; 07.07 Gas/diesel oil; 07.09 LPG; 16.05 Biogasoline; 16.06 Biodiesel; 16.12 Hydrogen; 17 Electricity,,
